71469,1,39209,0,26957,1,1
35605,1,71469,1,39209,0,1
65689,0,35605,1,71469,1,0
30954,0,65689,0,35605,1,1
80027,1,30954,0,65689,0,1
102346,0,80027,1,30954,0,0
45564,0,102346,0,80027,1,0
25682,0,45564,0,102346,0,1
30526,1,25682,0,45564,0,0
44100,1,30526,1,25682,0,0
36836,0,44100,1,30526,1,0
33033,1,36836,0,44100,1,1
39519,0,33033,1,36836,0,1
44587,0,39519,0,33033,1,0
41793,0,44587,0,39519,0,1
33407,1,41793,0,44587,0,0
43289,1,33407,1,41793,0,0
50418,1,43289,1,33407,1,0
49813,1,50418,1,43289,1,1
38007,1,49813,1,50418,1,1
21671,1,38007,1,49813,1,1
27449,1,21671,1,38007,1,1
21493,1,27449,1,21671,1,1
30425,0,21493,1,27449,1,1
23600,0,30425,0,21493,1,1
19007,0,23600,0,30425,0,1
20200,1,19007,0,23600,0,0
22406,1,20200,1,19007,0,0
29055,1,22406,1,20200,1,0
29275,1,29055,1,22406,1,1
