18,168,22,354,20,32,26,158,26,-201,23,409,28,-233,24,82,30,460,0
16,60,18,168,22,354,20,32,26,158,26,-201,23,409,28,-233,24,82,1
21,61,16,60,18,168,22,354,20,32,26,158,26,-201,23,409,28,-233,1
18,302,21,61,16,60,18,168,22,354,20,32,26,158,26,-201,23,409,0
11,194,18,302,21,61,16,60,18,168,22,354,20,32,26,158,26,-201,1
14,12,11,194,18,302,21,61,16,60,18,168,22,354,20,32,26,158,0
16,-49,14,12,11,194,18,302,21,61,16,60,18,168,22,354,20,32,1
13,123,16,-49,14,12,11,194,18,302,21,61,16,60,18,168,22,354,1
14,98,13,123,16,-49,14,12,11,194,18,302,21,61,16,60,18,168,1
18,84,14,98,13,123,16,-49,14,12,11,194,18,302,21,61,16,60,1
17,317,18,84,14,98,13,123,16,-49,14,12,11,194,18,302,21,61,1
15,130,17,317,18,84,14,98,13,123,16,-49,14,12,11,194,18,302,1
15,157,15,130,17,317,18,84,14,98,13,123,16,-49,14,12,11,194,1
15,-366,15,157,15,130,17,317,18,84,14,98,13,123,16,-49,14,12,1
21,333,15,-366,15,157,15,130,17,317,18,84,14,98,13,123,16,-49,1
11,265,21,333,15,-366,15,157,15,130,17,317,18,84,14,98,13,123,0
17,-192,11,265,21,333,15,-366,15,157,15,130,17,317,18,84,14,98,1
17,17,17,-192,11,265,21,333,15,-366,15,157,15,130,17,317,18,84,1
19,-233,17,17,17,-192,11,265,21,333,15,-366,15,157,15,130,17,317,1
18,373,19,-233,17,17,17,-192,11,265,21,333,15,-366,15,157,15,130,1
17,6,18,373,19,-233,17,17,17,-192,11,265,21,333,15,-366,15,157,1
20,-490,17,6,18,373,19,-233,17,17,17,-192,11,265,21,333,15,-366,1
20,-657,20,-490,17,6,18,373,19,-233,17,17,17,-192,11,265,21,333,0
20,-378,20,-657,20,-490,17,6,18,373,19,-233,17,17,17,-192,11,265,1
26,-77,19,120,17,-496,18,7,16,212,20,120,19,54,11,260,22,-35,1
20,317,26,-77,19,120,17,-496,18,7,16,212,20,120,19,54,11,260,0
19,284,20,317,26,-77,19,120,17,-496,18,7,16,212,20,120,19,54,1
20,-57,19,284,20,317,26,-77,19,120,17,-496,18,7,16,212,20,120,1
20,209,20,-57,19,284,20,317,26,-77,19,120,17,-496,18,7,16,212,1
16,177,20,209,20,-57,19,284,20,317,26,-77,19,120,17,-496,18,7,1
18,-148,16,177,20,209,20,-57,19,284,20,317,26,-77,19,120,17,-496,1
